T,C,S,N,D,OBJ,CTX,time,userAgent,
602.60,45.30,342.20,215.10,2982.85,2893.85,89.00,2012-3-16 22:44:23,Mozilla/5.0 (iPad- U- CPU OS 3_2_2 like Mac OS X- zh-cn) AppleWebKit/531.21.10 (KHTML- like Gecko) Version/4.0.4 Mobile/7B500 Safari/531.21.10,
639.20,46.90,342.60,249.70,2982.85,2893.85,89.00,2012-3-16 22:44:34,Mozilla/5.0 (iPad- U- CPU OS 3_2_2 like Mac OS X- zh-cn) AppleWebKit/531.21.10 (KHTML- like Gecko) Version/4.0.4 Mobile/7B500 Safari/531.21.10,
665.70,43.70,328.60,293.40,2982.85,2893.85,89.00,2012-3-16 22:44:46,Mozilla/5.0 (iPad- U- CPU OS 3_2_2 like Mac OS X- zh-cn) AppleWebKit/531.21.10 (KHTML- like Gecko) Version/4.0.4 Mobile/7B500 Safari/531.21.10,
815.00,45.40,341.40,428.20,2982.85,2893.85,89.00,2012-3-16 22:45:09,Mozilla/5.0 (iPad- U- CPU OS 3_2_2 like Mac OS X- zh-cn) AppleWebKit/531.21.10 (KHTML- like Gecko) Version/4.0.4 Mobile/7B500 Safari/531.21.10,
808.30,42.90,351.30,414.10,2982.85,2893.85,89.00,2012-3-16 22:47:09,Mozilla/5.0 (iPad- U- CPU OS 3_2_2 like Mac OS X- zh-cn) AppleWebKit/531.21.10 (KHTML- like Gecko) Version/4.0.4 Mobile/7B500 Safari/531.21.10,
767.30,47.80,351.40,368.10,2982.85,2893.85,89.00,2012-3-16 22:47:23,Mozilla/5.0 (iPad- U- CPU OS 3_2_2 like Mac OS X- zh-cn) AppleWebKit/531.21.10 (KHTML- like Gecko) Version/4.0.4 Mobile/7B500 Safari/531.21.10,
1311.70,44.20,381.30,886.20,2982.85,2893.85,89.00,2012-3-16 22:47:45,Mozilla/5.0 (iPad- U- CPU OS 3_2_2 like Mac OS X- zh-cn) AppleWebKit/531.21.10 (KHTML- like Gecko) Version/4.0.4 Mobile/7B500 Safari/531.21.10,
1224.40,47.30,379.50,797.60,2982.85,2893.85,89.00,2012-3-16 22:48:03,Mozilla/5.0 (iPad- U- CPU OS 3_2_2 like Mac OS X- zh-cn) AppleWebKit/531.21.10 (KHTML- like Gecko) Version/4.0.4 Mobile/7B500 Safari/531.21.10,
1482.60,40.60,373.30,1068.70,2982.85,2893.85,89.00,2012-3-16 22:49:13,Mozilla/5.0 (iPad- U- CPU OS 3_2_2 like Mac OS X- zh-cn) AppleWebKit/531.21.10 (KHTML- like Gecko) Version/4.0.4 Mobile/7B500 Safari/531.21.10,
1438.60,41.70,382.30,1014.60,2982.85,2893.85,89.00,2012-3-16 22:49:34,Mozilla/5.0 (iPad- U- CPU OS 3_2_2 like Mac OS X- zh-cn) AppleWebKit/531.21.10 (KHTML- like Gecko) Version/4.0.4 Mobile/7B500 Safari/531.21.10,
873.20,46.50,382.60,444.10,2982.85,2893.85,89.00,2012-3-16 22:50:26,Mozilla/5.0 (iPad- U- CPU OS 3_2_2 like Mac OS X- zh-cn) AppleWebKit/531.21.10 (KHTML- like Gecko) Version/4.0.4 Mobile/7B500 Safari/531.21.10,
677.60,47.90,381.40,248.30,2982.85,2893.85,89.00,2012-3-16 22:50:39,Mozilla/5.0 (iPad- U- CPU OS 3_2_2 like Mac OS X- zh-cn) AppleWebKit/531.21.10 (KHTML- like Gecko) Version/4.0.4 Mobile/7B500 Safari/531.21.10,
791.70,46.30,380.10,365.30,2982.85,2893.85,89.00,2012-3-16 22:50:51,Mozilla/5.0 (iPad- U- CPU OS 3_2_2 like Mac OS X- zh-cn) AppleWebKit/531.21.10 (KHTML- like Gecko) Version/4.0.4 Mobile/7B500 Safari/531.21.10,
843.90,45.80,384.30,413.80,2982.85,2893.85,89.00,2012-3-16 22:51:05,Mozilla/5.0 (iPad- U- CPU OS 3_2_2 like Mac OS X- zh-cn) AppleWebKit/531.21.10 (KHTML- like Gecko) Version/4.0.4 Mobile/7B500 Safari/531.21.10,
708.30,46.90,381.00,280.40,2982.85,2893.85,89.00,2012-3-16 22:51:16,Mozilla/5.0 (iPad- U- CPU OS 3_2_2 like Mac OS X- zh-cn) AppleWebKit/531.21.10 (KHTML- like Gecko) Version/4.0.4 Mobile/7B500 Safari/531.21.10,
796.60,46.10,383.20,367.30,2982.85,2893.85,89.00,2012-3-16 22:51:29,Mozilla/5.0 (iPad- U- CPU OS 3_2_2 like Mac OS X- zh-cn) AppleWebKit/531.21.10 (KHTML- like Gecko) Version/4.0.4 Mobile/7B500 Safari/531.21.10,
803.50,45.10,381.20,377.20,2982.85,2893.85,89.00,2012-3-16 22:51:41,Mozilla/5.0 (iPad- U- CPU OS 3_2_2 like Mac OS X- zh-cn) AppleWebKit/531.21.10 (KHTML- like Gecko) Version/4.0.4 Mobile/7B500 Safari/531.21.10,
909.70,46.50,385.00,478.20,2982.85,2893.85,89.00,2012-3-16 22:51:55,Mozilla/5.0 (iPad- U- CPU OS 3_2_2 like Mac OS X- zh-cn) AppleWebKit/531.21.10 (KHTML- like Gecko) Version/4.0.4 Mobile/7B500 Safari/531.21.10,
745.40,48.40,388.50,308.50,2982.85,2893.85,89.00,2012-3-16 22:52:09,Mozilla/5.0 (iPad- U- CPU OS 3_2_2 like Mac OS X- zh-cn) AppleWebKit/531.21.10 (KHTML- like Gecko) Version/4.0.4 Mobile/7B500 Safari/531.21.10,
910.90,45.00,404.10,461.80,2982.85,2893.85,89.00,2012-3-16 22:53:19,Mozilla/5.0 (iPad- U- CPU OS 3_2_2 like Mac OS X- zh-cn) AppleWebKit/531.21.10 (KHTML- like Gecko) Version/4.0.4 Mobile/7B500 Safari/531.21.10,
912.80,46.10,350.20,516.50,2982.85,2893.85,89.00,2012-3-16 22:53:32,Mozilla/5.0 (iPad- U- CPU OS 3_2_2 like Mac OS X- zh-cn) AppleWebKit/531.21.10 (KHTML- like Gecko) Version/4.0.4 Mobile/7B500 Safari/531.21.10,
802.30,46.30,347.30,408.70,2982.85,2893.85,89.00,2012-3-16 22:53:46,Mozilla/5.0 (iPad- U- CPU OS 3_2_2 like Mac OS X- zh-cn) AppleWebKit/531.21.10 (KHTML- like Gecko) Version/4.0.4 Mobile/7B500 Safari/531.21.10,
832.00,44.70,348.20,439.10,2982.85,2893.85,89.00,2012-3-16 22:53:58,Mozilla/5.0 (iPad- U- CPU OS 3_2_2 like Mac OS X- zh-cn) AppleWebKit/531.21.10 (KHTML- like Gecko) Version/4.0.4 Mobile/7B500 Safari/531.21.10,
829.10,44.70,326.80,457.60,2982.85,2893.85,89.00,2012-3-16 22:54:13,Mozilla/5.0 (iPad- U- CPU OS 3_2_2 like Mac OS X- zh-cn) AppleWebKit/531.21.10 (KHTML- like Gecko) Version/4.0.4 Mobile/7B500 Safari/531.21.10,
